Video Date,Session Number,Grasped?,Notes,Object
2024/08/09 14:02 (GMT+1),10,☑️ - Manipulated or Pinched - No Grasp,"Multiple ants sense the seed, and one ant manipulates it slightly while sensing but does not grasp.",Mustard Seed
2024/08/09 14:02 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it.",Mustard Seed
2024/08/09 14:02 (GMT+1),13,☑️ - Manipulated or Pinched - No Grasp,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it. Another ant also senses the seed.",Mustard Seed
2024/08/09 14:02 (GMT+1),14,☑️ - Manipulated or Pinched - No Grasp,The video begins with the researcher replacing a mustard seed with a nyjer seed using tweezers. An ant walks over the seed and senses it using antennae. Another ant shows this same behaviour at 0:40. The final ant to interact with the seed senses it with its antennae and manipulates the seed using its forelegs while it scans up and down the length of the seed with the mandibles open and tracing along the surface of the seed. It doesn’t appear to make an attempt to grasp the seed before walking away.,Nyjer
2024/08/09 14:02 (GMT+1),16,❌ - Sensed - Not Manipulated,"An ant walks up to the seed and makes antennal contacts, it climbs over the seed but does not stop to manipulate it.",Nyjer
2024/08/09 14:02 (GMT+1),18,☑️ - Manipulated or Pinched - No Grasp,"Multiple ants sense the seed, and one ant manipulates it slightly while sensing but does not grasp.",Mustard Seed
2024/08/09 14:02 (GMT+1),19,✅✅ - Grasped and Carried Away,One ant senses the object and manipulates it slightly using forelimbs to find the right orientation then grasps it using mandibles.,Mustard Seed
2024/08/09 14:02 (GMT+1),20,☑️ - Manipulated or Pinched - No Grasp,One ant senses the seed that is slippy and searches to find a grasp point but then walks away.,Oat
2024/08/09 14:02 (GMT+1),21,❌ - Sensed - Not Manipulated,One ant senses the seed but does not grasp it.,Oat
2024/08/09 14:02 (GMT+1),22,☑️ - Manipulated or Pinched - No Grasp,One ant senses the seed that is slippy and searches to find a grasp point but then walks away. The ant returns and continues to sense the object but does not grasp it in the end.,Oat
2024/08/09 14:02 (GMT+1),23,❌ - Sensed - Not Manipulated,Ants sense the object and around the object but none grasp.,Oat
2024/08/09 14:36 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,Two ants manipulate the object and seem to attempt to grasp but none succeed. Both walk away.,Grass Seed
2024/08/09 14:36 (GMT+1),2,❌ - Sensed - Not Manipulated,Multiple ants sense the seed but none grasp.,Grass Seed
2024/08/09 14:36 (GMT+1),3,✅✅ - Grasped and Carried Away,Two ants actually pick the seed up in this video. The first puts it down after and the second walks away with it.,Grass Seed
2024/08/09 14:36 (GMT+1),4,✅✅ - Grasped and Carried Away,First large ant manipulates the seed but does not pick it up. Another ant senses the seed and the third then manipulates and picks up the grass seed.,Grass Seed
2024/08/09 14:36 (GMT+1),5,✅✅ - Grasped and Carried Away,"Two seeds are present in the video, multiple ants sense the upper seed and spend extended times sensing the object. An ant temporarily lifts the bottom seed then drops it again. The upper seed is carried off by another ant.",Grass Seed
2024/08/09 14:36 (GMT+1),6,✅ - Grasped + Dropped,"Two seeds are present, an ant carries off the left seed but out of focus of camera 0. Another ant also senses the second seed.",Grass Seed
2024/08/09 14:36 (GMT+1),7,✅✅ - Grasped and Carried Away,"Two seeds are present, upper seed is manipulated but not carried off by an ant, but out of focus of camera 0. The same ant goes to sense and manipulate the second seed. The second seed is grasped and carried off.",Grass Seed
2024/08/09 14:36 (GMT+1),8,❌ - Sensed - Not Manipulated,Multiple ants sense the seed but none grasp.,Grass Seed
2024/08/09 14:36 (GMT+1),9,✅ - Grasped + Dropped,"Single ant senses the seed, grasps it to lift it slightly but drops it again before walking off.",Grass Seed
2024/08/09 14:36 (GMT+1),10,✅ - Grasped + Dropped,"Single ant senses grass seed slightly out of focus of camera 0. It drags it further out of focus and out of frame to pick it up and carry it away,",Grass Seed
2024/08/09 14:36 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,"The first ant senses the seed as if to grasp it, moving the mandibles along the seed surface but not encompassing the seed with the mandibles in a grasp. A second ant approaches the seed and senses it and manipulates the seed using its forelegs while making many small pinches along the seed length without executing a grasp. This second ant cleans its antennae before walking away. ",Nyjer
2024/08/09 14:36 (GMT+1),14,☑️ - Manipulated or Pinched - No Grasp,Single ant manipulates the seed but does not grasp it.,Oat
2024/08/09 14:36 (GMT+1),15,❌ - Sensed - Not Manipulated,A few ants walk over the seed and one ant senses it but does not manipulate or grasp it.,Oat
2024/08/09 14:36 (GMT+1),16,❌ - Sensed - Not Manipulated,Single ant senses seed and the seed moves but the ant does not attempt a grasp.,Oat
2024/08/09 14:36 (GMT+1),18,✅ - Grasped + Dropped,Ant spends a significant length of time manipulating the seed and searching for a grasp location. Some of this time is out of frame of camera 0. Another ant senses a second oat seed. The ant grasps the object and picks it up,Oat
2024/08/09 14:36 (GMT+1),19,❌ - Sensed - Not Manipulated,Multiple ants sense a seed but none attempt to pick it up,Oat
2024/09/05 16:16 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"The seed is manipulated by the researcher by hand. The first ant senses object and makes small pinching movements with the mandibles as it manipulates the object using its forelegs and makes contact using the antennae. The mid-legs are also used to manipulate the seed. The ant cleans its antennae and forelegs, and curves the thorax under the body for a moment before walking away.",Nyjer
2024/09/05 16:16 (GMT+1),2,☑️ - Manipulated or Pinched - No Grasp,"A single ant interacts with the seed, sensing using the antennae. The ant searches along the seed and traces the mandibles along the seed surface, as it manipulates the seed using its fore and mid legs. The thorax can be seen curling under the body of the ant. The ant leaves without making any grasp attempts. ",Nyjer
2024/09/05 16:16 (GMT+1),3,❌ - Sensed - Not Manipulated,"Several ants walk through the scene but only one makes antennal contact with the seed, briefly, before walking off.",Nyjer
2024/09/05 16:16 (GMT+1),4,❌ - No Contact With Object,"Ant walks through, short and not useful.",Nyjer
2024/09/05 16:16 (GMT+1),5,☑️ - Manipulated or Pinched - No Grasp,"A single ant interacts with the seed, sensing and manipulating it using its forelegs but making no grasp attempt before walking away.",Nyjer
2024/09/05 16:16 (GMT+1),6,✅✅ - Grasped and Carried Away,"One ant crawls across the object, but a larger ant arrives at 0:22 and senses and manipulates the seed using forelimbs and mandibles before picking the object up and walking away.",Nyjer
